"example","name","resources","sev","subscriptionId"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/providers/microsoft.security/pricings/cloudposture/securityentitydata/d8bd0d83-8116-4b58-a1aa-7ec71f96c28f","Guest accounts with write permissions on Azure resources should be removed",53,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/staging/providers/microsoft.web/sites/k12-stage-integration","App Service apps should have authentication enabled",30,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/staging/providers/microsoft.containerregistry/registries/stagingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update libmount1",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.app/containerapps/k12-querybuilder-gateway___k12-querybuilder-gateway","Update openssl",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update perl-base",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update mount",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:5648b0eddc2166f9e6464eb069433a479a7322e02e6c608e970ea4e7a74acd58","Update libattr1",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/staging/providers/microsoft.containerregistry/registries/stagingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update libblkid1",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update libsmartcols1",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update libuuid1",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update util-linux",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/staging/providers/microsoft.containerregistry/registries/stagingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update bsdutils",21,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/providers/microsoft.security/pricings/cloudposture/securityentitydata/c877e36d-dfab-4b1f-93d3-bbf251d04ded","Privileged roles should not have permanent access at the subscription and resource group level",19,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update libc6",18,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.app/containerapps/k12-querybuilder-api","Authentication should be enabled on Azure Container Apps",18,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update libc-bin",18,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-querybuilder-gateway-images-sha256:0a009f04620ab25d438d9ce88f7a70c5e282e3de46a6bfebb3b12ba9703db55d","Update libssl3t64",16,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update perl",15,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update cryptography",15,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update curl",15,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.app/containerapps/k12-querybuilder-gateway___k12-querybuilder-gateway","Update microsoft.netcore.app.runtime.linux-x64",12,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update libperl5.38t64",10,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:06bd3e4ecd691a338cc70472114f71e21270fe6b9be8b8516c6b2ae8c5808d2e","Update perl-modules-5.38",10,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update libcurl4t64",10,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/testing/providers/microsoft.containerregistry/registries/testingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update libcurl3t64-gnutls",10,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update system.security.cryptography.xml",10,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/k12-infra/providers/microsoft.keyvault/vaults/k12-rds-integration","Key Vault secrets should have an expiration date",7,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update system.formats.asn1",7,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update system.io.packaging",7,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:8b66eae7edf80e40da608a7c7f12df9e33b30d5b5b99c81481f7e2268ec5d96a","Update system.text.json",7,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/staging/providers/microsoft.containerregistry/registries/stagingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:5648b0eddc2166f9e6464eb069433a479a7322e02e6c608e970ea4e7a74acd58","Update perl-modules-5.34",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/staging/providers/microsoft.containerregistry/registries/stagingk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:5648b0eddc2166f9e6464eb069433a479a7322e02e6c608e970ea4e7a74acd58","Update libperl5.34",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update libpython3.10-minimal",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update libpython3.10-stdlib",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update python3.10",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update python3.10-minimal",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/resourcegroups/development/providers/microsoft.containerregistry/registries/developmentk12acr/securityentitydata/repositories-k12-ado-runner-images-sha256:a9d58c5235896c6d5fd40567088f1963c7e7f1b6cf5c9d85da410d50bf96d91f","Update pyjwt",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
"/subscriptions/cf6841bb-b70c-4d55-a489-2d53855e78b5/providers/microsoft.security/pricings/cloudposture/securityentitydata/ba1d8390-c1b1-4f4c-bfb2-b818db14fbf6","Service Principals should not be assigned with administrative roles at the subscription and resource group level",5,"High","cf6841bb-b70c-4d55-a489-2d53855e78b5"
