"count_","properties_complianceState","properties_policyDefinitionName"
1,"NonCompliant","67dcad1a-ec60-45df-8fd0-14c9d29eeaa2"
1,"NonCompliant","955a914f-bf86-4f0e-acd5-e0766b0efcb6"
1,"Unknown","6a379d74-903b-244a-4c44-838728bea6b0"
1,"Compliant","a43d5475-c569-45ce-a268-28fa79f4e87a"
1,"Unknown","311802f9-098d-0659-245a-94c5d47c0182"
1,"Unknown","83eea3d3-0d2c-9ccd-1021-2111b29b2a62"
1,"Unknown","b8dad106-6444-5f55-307e-1e1cc9723e39"
1,"Unknown","6abdf7c7-362b-3f35-099e-533ed50988f9"
1,"Unknown","7a114735-a420-057d-a651-9a73cd0416ef"
1,"Unknown","5c40f27b-6791-18c5-3f85-7b863bd99c11"
1,"Unknown","098dcde7-016a-06c3-0985-0daaf3301d3a"
1,"Unknown","575ed5e8-4c29-99d0-0e4d-689fb1d29827"
1,"Compliant","4a15c15f-90d5-4a1f-8b63-2903944963fd"
1,"Unknown","056a723b-4946-9d2a-5243-3aa27c4d31a1"
1,"Unknown","db8b35d6-8adb-3f51-44ff-c648ab5b1530"
1,"Unknown","3e37c891-840c-3eb4-78d2-e2e0bb5063e0"
1,"Unknown","68a39c2b-0f17-69ee-37a3-aa10f9853a08"
1,"Unknown","f131c8c5-a54a-4888-1efc-158928924bc1"
1,"Unknown","fd81a1b3-2d7a-107c-507e-29b87d040c19"
1,"Unknown","676c3c35-3c36-612c-9523-36d266a65000"
1,"Unknown","22c16ae4-19d0-29cb-422f-cb44061180ee"
1,"Unknown","13ef3484-3a51-785a-9c96-500f21f84edd"
1,"Unknown","f96d2186-79df-262d-3f76-f371e3b71798"
1,"Unknown","1e876c5c-0f2a-8eb6-69f7-5f91e7918ed6"
1,"Unknown","7805a343-275c-41be-9d62-7215b96212d8"
1,"Unknown","68d2e478-3b19-23eb-1357-31b296547457"
1,"Unknown","7d10debd-4775-85a7-1a41-7e128e0e8c50"
1,"NonCompliant","ae1b9a8c-dfce-4605-bd91-69213b4a26fc"
1,"NonCompliant","98903777-a9f6-47f5-90a9-acaf62ab01a8"
1,"Unknown","c8aa992d-76b7-7ca0-07b3-31a58d773fa9"
1,"Unknown","1fdeb7c4-4c93-8271-a135-17ebe85f1cc7"
1,"Unknown","92b49e92-570f-1765-804a-378e6c592e28"
1,"Compliant","75262d3e-ba4a-4f43-85f8-9f72c090e5e3"
1,"NonCompliant","4a15c15f-90d5-4a1f-8b63-2903944963fd"
1,"Unknown","db580551-0b3c-4ea1-8a4c-4cdb5feb340f"
1,"Unknown","4ee5975d-2507-5530-a20a-83a725889c6f"
1,"Unknown","43ac3ccb-4ef6-7d63-9a3f-6848485ba4e8"
1,"Unknown","c72fc0c8-2df8-7506-30be-6ba1971747e1"
1,"Unknown","0471c6b7-1588-701c-2713-1fade73b75f6"
1,"Unknown","d041726f-00e0-41ca-368c-b1a122066482"
1,"Unknown","0f4fa857-079d-9d3d-5c49-21f616189e03"
