"count_","rec","resourceType","severity"
53,"Guest accounts with write permissions on Azure resources should be removed","microsoft.security/pricings","High"
30,"App Service apps should have authentication enabled","microsoft.web/sites","High"
19,"Privileged roles should not have permanent access at the subscription and resource group level","microsoft.security/pricings","High"
18,"Update bsdutils","microsoft.containerregistry/registries","High"
18,"Update mount","microsoft.containerregistry/registries","High"
18,"Update libsmartcols1","microsoft.containerregistry/registries","High"
18,"Update util-linux","microsoft.containerregistry/registries","High"
18,"Update libattr1","microsoft.containerregistry/registries","High"
18,"Update perl-base","microsoft.containerregistry/registries","High"
18,"Authentication should be enabled on Azure Container Apps","microsoft.app/containerapps","High"
18,"Update libblkid1","microsoft.containerregistry/registries","High"
18,"Update openssl","microsoft.containerregistry/registries","High"
18,"Update libmount1","microsoft.containerregistry/registries","High"
18,"Update libuuid1","microsoft.containerregistry/registries","High"
15,"Update cryptography","microsoft.containerregistry/registries","High"
15,"Update libc6","microsoft.containerregistry/registries","High"
15,"Update curl","microsoft.containerregistry/registries","High"
15,"Update libc-bin","microsoft.containerregistry/registries","High"
15,"Update perl","microsoft.containerregistry/registries","High"
13,"Update libssl3t64","microsoft.containerregistry/registries","High"
10,"Update libcurl3t64-gnutls","microsoft.containerregistry/registries","High"
10,"Update system.security.cryptography.xml","microsoft.containerregistry/registries","High"
10,"Update libcurl4t64","microsoft.containerregistry/registries","High"
10,"Update libperl5.38t64","microsoft.containerregistry/registries","High"
10,"Update perl-modules-5.38","microsoft.containerregistry/registries","High"
9,"Update microsoft.netcore.app.runtime.linux-x64","microsoft.containerregistry/registries","High"
7,"Update system.text.json","microsoft.containerregistry/registries","High"
7,"Update system.formats.asn1","microsoft.containerregistry/registries","High"
7,"Update system.io.packaging","microsoft.containerregistry/registries","High"
7,"Key Vault secrets should have an expiration date","microsoft.keyvault/vaults","High"
5,"Update python3.10-minimal","microsoft.containerregistry/registries","High"
5,"Update libcurl3-gnutls","microsoft.containerregistry/registries","High"
5,"Update python3.10","microsoft.containerregistry/registries","High"
5,"Update libperl5.34","microsoft.containerregistry/registries","High"
5,"Update libcurl4","microsoft.containerregistry/registries","High"
5,"Update libpython3.10-minimal","microsoft.containerregistry/registries","High"
5,"Service Principals should not be assigned with administrative roles at the subscription and resource group level","microsoft.security/pricings","High"
5,"Update libasound2-data","microsoft.containerregistry/registries","High"
5,"Update libssl3","microsoft.containerregistry/registries","High"
5,"Update libpython3.10-stdlib","microsoft.containerregistry/registries","High"
5,"Update perl-modules-5.34","microsoft.containerregistry/registries","High"
5,"Update libsqlite3-0","microsoft.containerregistry/registries","High"
5,"Update pyjwt","microsoft.containerregistry/registries","High"
4,"Minimal set of principals should be members of fixed high impact database roles in SQL databases","microsoft.sql/servers","High"
4,"Database owners should be as expected for SQL databases","microsoft.sql/servers","High"
4,"Update libgraphite2-3","microsoft.containerregistry/registries","High"
4,"Update libasound2","microsoft.containerregistry/registries","High"
4,"Update libxml2","microsoft.containerregistry/registries","High"
4,"Guest accounts with owner permissions on Azure resources should be removed","microsoft.security/pricings","High"
4,"Update libnss3","microsoft.containerregistry/registries","High"
4,"Azure Container Apps should not be exposed to the public internet unless required","microsoft.app/containerapps","High"
4,"Server-level firewall rules should be tracked and maintained at a strict minimum on SQL Servers","microsoft.sql/servers","High"
3,"Update util-linux","microsoft.app/containerapps","High"
3,"Update libmount1","microsoft.app/containerapps","High"
3,"Update libuuid1","microsoft.app/containerapps","High"
3,"Update bsdutils","microsoft.app/containerapps","High"
3,"Update libc-bin","microsoft.app/containerapps","High"
3,"Update perl-base","microsoft.app/containerapps","High"
3,"Update mount","microsoft.app/containerapps","High"
3,"Update libssl3t64","microsoft.app/containerapps","High"
3,"Update libblkid1","microsoft.app/containerapps","High"
3,"Update libsmartcols1","microsoft.app/containerapps","High"
3,"Update libc6","microsoft.app/containerapps","High"
3,"Update microsoft.netcore.app.runtime.linux-x64","microsoft.app/containerapps","High"
3,"Update openssl","microsoft.app/containerapps","High"
3,"Update libattr1","microsoft.app/containerapps","High"
2,"Update microsoft.openapi","microsoft.containerregistry/registries","High"
2,"Managed identity should be enabled on web apps","microsoft.web/sites","High"
2,"Disabled accounts with read and write permissions on Azure resources should be removed","microsoft.security/pricings","High"
2,"Auditing should be enabled at the server level for SQL Servers","microsoft.sql/servers","High"
2,"Update microsoft.openapi","microsoft.app/containerapps","High"
1,"'Allow access to Azure services' should be disabled for PostgreSQL Servers","microsoft.dbforpostgresql/flexibleservers","High"
1,"Microsoft Defender for Containers should be enabled","","High"
1,"Update microsoft.netcore.app.runtime.linux-arm64","microsoft.containerregistry/registries","High"
1,"Update wget","microsoft.containerregistry/registries","High"
1,"Update libasound2t64","microsoft.containerregistry/registries","High"
1,"Microsoft Defender for Resource Manager should be enabled","","High"
1,"pgaudit.log should include role, ddl, and misc for Azure Database for PostgreSQL Servers","microsoft.dbforpostgresql/flexibleservers","High"
1,"Private endpoint should be configured for Azure Database for PostgreSQL Servers","microsoft.dbforpostgresql/flexibleservers","High"
1,"A maximum of 3 owners should be designated for subscriptions","","High"
30,"App Service apps should enable outbound application traffic routing to Azure Virtual Network","microsoft.web/sites","Low"
30,"App Service apps should disable public network access","microsoft.web/sites","Low"
30,"App Service apps should enable configuration routing to Azure Virtual Network","microsoft.web/sites","Low"
30,"App Service apps should enable end to end encryption","microsoft.web/sites","Low"
30,"App Service apps should use private link","microsoft.web/sites","Low"
29,"App Service apps should have local authentication methods disabled for SCM site deployments","microsoft.web/sites","Low"
27,"App Service apps should have local authentication methods disabled for FTP deployments","microsoft.web/sites","Low"
14,"Managed Identity should be enabled for Container Apps","microsoft.app/containerapps","Low"
13,"Update gpgv","microsoft.containerregistry/registries","Low"
12,"Storage accounts should have infrastructure encryption (excluding storage accounts managed by Azure Red Hat OpenShift)","microsoft.storage/storageaccounts","Low"
12,"[Enable if required] Storage accounts should use customer-managed key (CMK) for encryption","microsoft.storage/storageaccounts","Low"
12,"Enable logging by category group for Front Door and CDN profiles (microsoft.cdn/profiles) to Log Analytics","microsoft.cdn/profiles","Low"
12,"App Service apps should use latest 'HTTP Version'","microsoft.web/sites","Low"
12,"Storage accounts should have infrastructure encryption","microsoft.storage/storageaccounts","Low"
12,"Azure Front Door profiles should use Premium tier that supports managed WAF rules and private link","microsoft.cdn/profiles","Low"
11,"Storage accounts should prevent shared key access (excluding storage accounts managed by Azure Red Hat OpenShift)","microsoft.storage/storageaccounts","Low"
11,"Storage accounts should prevent shared key access (excluding storage accounts created by Databricks)","microsoft.storage/storageaccounts","Low"
10,"Update gnupg","microsoft.containerregistry/registries","Low"
10,"Update dirmngr","microsoft.containerregistry/registries","Low"
10,"Update gpgconf","microsoft.containerregistry/registries","Low"
10,"Update keyboxd","microsoft.containerregistry/registries","Low"
10,"Update gnupg-utils","microsoft.containerregistry/registries","Low"
10,"Update gpgsm","microsoft.containerregistry/registries","Low"
10,"Update gpg-agent","microsoft.containerregistry/registries","Low"
10,"Update gpg","microsoft.containerregistry/registries","Low"
10,"Container Apps should disable external network access","microsoft.app/containerapps","Low"
10,"Geo-redundant storage should be enabled for Storage Accounts","microsoft.storage/storageaccounts","Low"
9,"Storage accounts should restrict network access using virtual network rules (excluding storage accounts created by Databricks)","microsoft.storage/storageaccounts","Low"
9,"Storage accounts should restrict network access using virtual network rules (excluding storage accounts managed by ARO)","microsoft.storage/storageaccounts","Low"
9,"Storage Accounts should restrict network access through network ACL bypass configuration only.","microsoft.storage/storageaccounts","Low"
8,"Public IP addresses should have resource logs enabled for Azure DDoS Protection","microsoft.network/publicipaddresses","Low"
8,"Access to storage accounts with firewall and virtual network configurations should be restricted","microsoft.storage/storageaccounts","Low"
8,"Enable logging by category group for Public IP addresses (microsoft.network/publicipaddresses) to Log Analytics","microsoft.network/publicipaddresses","Low"
8,"Track all users with access to the database for SQL Databases","microsoft.sql/servers","Low"
8,"Azure Key Vault should disable public network access","microsoft.keyvault/vaults","Low"
8,"SQL servers should use customer-managed keys to encrypt data at rest","microsoft.sql/servers","Low"
7,"Secrets should have the specified maximum validity period","microsoft.keyvault/vaults","Low"
6,"Container Apps environment should disable public network access","microsoft.app/managedenvironments","Low"
6,"Secrets should have content type set","microsoft.keyvault/vaults","Low"
5,"Security Center standard pricing tier should be selected","microsoft.security/pricings","Low"
5,"[Enable if required] Container registries should be encrypted with a customer-managed key (CMK)","microsoft.containerregistry/registries","Low"
5,"Container registries should have exports disabled","microsoft.containerregistry/registries","Low"
5,"Container registries should have ARM audience token authentication disabled.","microsoft.containerregistry/registries","Low"
5,"Diagnostic logs in Key Vault should be enabled","microsoft.keyvault/vaults","Low"
5,"[Preview]: Container Registry should use a virtual network service endpoint","microsoft.containerregistry/registries","Low"
4,"Virtual networks should be protected by Azure DDoS Protection","microsoft.network/virtualnetworks","Low"
4,"Storage accounts should use private link (excluding storage accounts managed by Azure Red Hat OpenShift)","microsoft.storage/storageaccounts","Low"
4,"Enable logging by category group for Virtual networks (microsoft.network/virtualnetworks) to Log Analytics","microsoft.network/virtualnetworks","Low"
4,"Container App environments should use network injection","microsoft.app/managedenvironments","Low"
4,"Certificates should be issued by the specified integrated certificate authority","microsoft.keyvault/vaults","Low"
4,"Azure SQL Database should have Microsoft Entra-only authentication enabled","microsoft.sql/servers","Low"
4,"Minimal set of principals should be members of fixed low impact database roles in SQL databases","microsoft.sql/servers","Low"
4,"Excessive permissions should not be granted to PUBLIC role on objects or columns in SQL databases","microsoft.sql/servers","Low"
4,"Virtual networks should be protected by Azure Firewall","microsoft.network/virtualnetworks","Low"
4,"Azure Data Factory linked services should use system-assigned managed identity authentication when it is supported","microsoft.datafactory/factories","Low"
4,"Storage accounts should use private link (excluding storage accounts created by Databricks)","microsoft.storage/storageaccounts","Low"
3,"Update gpgv","microsoft.app/containerapps","Low"
3,"Azure Cache for Redis should disable public network access","microsoft.cache/redis","Low"
3,"Enable logging by category group for Virtual network gateways (microsoft.network/virtualnetworkgateways) to Log Analytics","microsoft.network/virtualnetworkgateways","Low"
3,"Azure Service Bus namespaces should have local authentication methods disabled","microsoft.servicebus/namespaces","Low"
3,"Service Bus namespaces should have double encryption enabled","microsoft.servicebus/namespaces","Low"
3,"Audit usage of custom RBAC roles","microsoft.authorization/roledefinitions","Low"
2,"Audit resource location matches resource group location","microsoft.keyvault/vaults","Low"
2,"Enable logging by category group for Load balancers (microsoft.network/loadbalancers) to Log Analytics","microsoft.network/loadbalancers","Low"
2,"Diagnostic logs in Microsoft Foundry resources should be enabled","microsoft.cognitiveservices/accounts","Low"
2,"Auditing on SQL server should be enabled","microsoft.sql/servers","Low"
2,"Audit resource location matches resource group location","microsoft.network/privateendpoints","Low"
2,"Audit resource location matches resource group location","microsoft.automation/automationaccounts","Low"
2,"Audit resource location matches resource group location","microsoft.eventgrid/systemtopics","Low"
2,"Public network access on Azure Data Factory should be disabled","microsoft.datafactory/factories","Low"
2,"Container Apps should only be accessible over HTTPS","microsoft.app/containerapps","Low"
2,"Service Bus Namespaces should disable public network access","microsoft.servicebus/namespaces","Low"
2,"Audit resource location matches resource group location","microsoft.security/securityconnectors","Low"
2,"Audit resource location matches resource group location","microsoft.web/connections","Low"
2,"Audit resource location matches resource group location","microsoft.storage/storageaccounts","Low"
2,"Audit resource location matches resource group location","microsoft.network/networkinterfaces","Low"
2,"Container registries should have SKUs that support Private Links","microsoft.containerregistry/registries","Low"
1,"[Enable if required] Microsoft Foundry resources should encrypt data at rest with a customer-managed key (CMK)","microsoft.cognitiveservices/accounts","Low"
1,"Audit resource location matches resource group location","microsoft.portalservices/dashboards","Low"
1,"Audit resource location matches resource group location","microsoft.network/networkwatchers","Low"
1,"Azure Data Factory should use a Git repository for source control","microsoft.datafactory/factories","Low"
1,"Certificates should not expire within the specified number of days","microsoft.keyvault/vaults","Low"
