"name","pna","resourceGroup","type"
"cae-6okwxqo3pdluq","Enabled","development","microsoft.app/managedenvironments"
"cfik12sbom","Enabled","k12-infra","microsoft.storage/storageaccounts"
"classWallet","Enabled","k12-infra","microsoft.keyvault/vaults"
"development-api-replic","Enabled","development","microsoft.sql/servers"
"development-k12-cae","Enabled","development","microsoft.app/managedenvironments"
"development-k12-kv","Enabled","development","microsoft.keyvault/vaults"
"developmentapikv","Enabled","development","microsoft.keyvault/vaults"
"developmentenrollmenthns","Enabled","development","microsoft.storage/storageaccounts"
"developmentk12appversion","Enabled","development","microsoft.storage/storageaccounts"
"developmentk12caestorage","","development","microsoft.storage/storageaccounts"
"k12-development-app-configuration","Enabled","development","microsoft.appconfiguration/configurationstores"
"k12-infra-ops-apps-cae","Enabled","development","microsoft.app/managedenvironments"
"k12-rds-integration","Enabled","k12-infra","microsoft.keyvault/vaults"
"k12-shared-accounts","Enabled","k12-infra","microsoft.keyvault/vaults"
"k12-staging-app-configuration","Enabled","staging","microsoft.appconfiguration/configurationstores"
"k12-testing-app-configuration","Enabled","testing","microsoft.appconfiguration/configurationstores"
"k12eventhub-k12-development-sbns","Enabled","development","microsoft.servicebus/namespaces"
"k12infra","Enabled","k12-infra","microsoft.storage/storageaccounts"
"k12nonprodrefundsftp","Enabled","k12-infra","microsoft.storage/storageaccounts"
"k12sqlauditdev","","development","microsoft.storage/storageaccounts"
"lowerenvfdcfnccert","Enabled","k12-infra","microsoft.keyvault/vaults"
"staging-k12-cae","Enabled","staging","microsoft.app/managedenvironments"
"stagingapikv","Enabled","staging","microsoft.keyvault/vaults"
"testing-k12-cae","Enabled","testing","microsoft.app/managedenvironments"
"testingapienrollment","Enabled","testing","microsoft.storage/storageaccounts"
"testingapikv","Enabled","testing","microsoft.keyvault/vaults"
"testingenrollmenthns","Enabled","testing","microsoft.storage/storageaccounts"
