"name","Type","Location","resourceGroup"
"7d8df6a9-9822-4a74-9e3b-52e2e7eaa3db-dashboard","Shared dashboard","East US 2","testing"
"871ff6a9-81e0-43a6-aa8e-d97294fe9b99-dashboard","Shared dashboard","East US 2","testing"
"Application Insights Smart Detection","Action group","Global","testing"
"Failure Anomalies - testing-api-enrollment","Smart detector alert rule","Global","testing"
"Failure Anomalies - testing-api-enrollment-la","Smart detector alert rule","Global","testing"
"K12","SQL database","East US 2","testing"
"K12_Development","SQL database","East US 2","testing"
"K12_backup","SQL database","East US 2","testing"
"K12testing-adf-sp","Managed Identity","East US 2","testing"
"admin-testing-afd-profile","Front Door","Global","testing"
"admin-testing-frontend","Endpoint","Global","testing"
"admin-testing-web-app","Static Web App","East US 2","testing"
"enrollment-testing-afd-profile","Front Door","Global","testing"
"enrollment-testing-frontend","Endpoint","Global","testing"
"enrollment-testing-web-app","Static Web App","East US 2","testing"
"master","SQL database","East US 2","testing"
"providers-testing-afd-profile","Front Door","Global","testing"
"providers-testing-frontend","Endpoint","Global","testing"
"providers-testing-web-app","Static Web App","East US 2","testing"
"schools-testing-afd-profile","Front Door","Global","testing"
"schools-testing-frontend","Endpoint","Global","testing"
"schools-testing-web-app","Static Web App","East US 2","testing"
"stapilogicapptesting","Storage account","East US 2","testing"
"testing-api-availability-test","Availability test","East US 2","testing"
"testing-api-enrollment","API Management service","East US 2","testing"
"testing-api-enrollment","App Service","East US 2","testing"
"testing-api-enrollment","SQL server","East US 2","testing"
"testing-api-enrollment","Application Insights","East US 2","testing"
"testing-api-enrollment","App Service plan","East US 2","testing"
"testing-api-enrollment-dashboard","Shared dashboard","East US 2","testing"
"testing-api-enrollment-insights","Application Insights","East US 2","testing"
"testing-api-enrollment-la","App Service","East US 2","testing"
"testing-api-enrollment-la","Application Insights","East US 2","testing"
"testing-api-enrollment-signalr","SignalR","East US 2","testing"
"testing-api-enrollment-sp","App Service plan","East US 2","testing"
"testing-api-enrollment-testing-api-enrollment","Availability test","East US 2","testing"
"testingapienrollment","Storage account","East US 2","testing"
"testingapikv","Key vault","East US 2","testing"
"testingenrollmenthns","Storage account","East US 2","testing"
"Application Insights Smart Detection","Action group","Global","staging"
"Failure Anomalies - staging-api-enrollment-insights","Smart detector alert rule","Global","staging"
"K12","SQL database","East US 2","staging"
"K12staging-adf-sp","Managed Identity","East US 2","staging"
"admin-staging-afd-profile","Front Door","Global","staging"
"admin-staging-frontend","Endpoint","Global","staging"
"admin-staging-web-app","Static Web App","East US 2","staging"
"enrollment-staging-afd-profile","Front Door","Global","staging"
"enrollment-staging-frontend","Endpoint","Global","staging"
"enrollment-staging-web-app","Static Web App","East US 2","staging"
"master","SQL database","East US 2","staging"
"providers-staging-afd-profile","Front Door","Global","staging"
"providers-staging-frontend","Endpoint","Global","staging"
"providers-staging-web-app","Static Web App","East US 2","staging"
"schools-staging-afd-profile","Front Door","Global","staging"
"schools-staging-frontend","Endpoint","Global","staging"
"schools-staging-web-app","Static Web App","East US 2","staging"
"staging-api-availability-test","Availability test","East US 2","staging"
"staging-api-enrollment","API Management service","East US 2","staging"
"staging-api-enrollment","App Service plan","East US 2","staging"
"staging-api-enrollment","SQL server","East US 2","staging"
"staging-api-enrollment","App Service","East US 2","staging"
"staging-api-enrollment-dashboard","Shared dashboard","East US 2","staging"
"staging-api-enrollment-insights","Application Insights","East US 2","staging"
"staging-api-enrollment-la","App Service","East US 2","staging"
